strategy_family,strategy_id,period,data_source,n_trades_signals,signals_per_year,win_rate_pct,avg_win_usd,avg_loss_usd,expectancy,expectancy_unit,total_pnl,total_pnl_unit,sl_pct,tp1_pct,tp2_pct,tp3_pct,avg_price_delta_vs_bench,return_delta_vs_bench_pct,benchmark_return_pct,verdict,key_params,notes
CFD Short B,ext2_sl1_tp1x0.5_partial,2020-2025,combined D1,16,2.7,75.0,,,8.63,USD,138.14,USD,25.0,75.0,31.2,25.0,,,,BEST PARTIAL,"ext_k=2.0 sl_atr=1.0 tp1=0.5× partial","Highest WR — OPTIMAL CONFIG"
CFD Short B,ext1.5_sl1_any,2020-2025,combined D1,varies,varies,49.5,,,-3.14,USD,-75.4,USD,50.5,49.5,,,,,,,AVOID,"ext_k=1.5 (any sl/tp1)","Too many false signals — negative marginal expectancy"
CFD Short B,ext2.5_sl1_tp1x1.0,2020-2025,combined D1,9,1.5,55.6,,,4.19,USD,37.71,USD,44.4,55.6,33.3,33.3,,,,TOO RARE,"ext_k=2.5 sl_atr=1.0 tp1=1.0×","Only 1.5 signals/year — good metrics but insufficient frequency"
CFD Short B,ext2_sl1.5_any,2020-2025,combined D1,varies,varies,50.9,,,-4.24,USD,-88.7,USD,49.1,50.9,,,,,,,AVOID,"ext_k=2.0 sl_atr=1.5 (any tp1)","SL too wide — marginal expectancy -4.24"
CFD Short B,best_2020_2023,2020-2023,yfinance GC=F D1,12,3.0,75.0,,,11.88,USD,142.50,USD,25.0,75.0,41.7,33.3,,,,STRONG,"ext_k=2.0 sl_atr=1.0 tp1=0.75×","2020-2023 period — much stronger performance"
CFD Short B,best_2024_2025,2024-2025,Dukascopy M5→D1,4,2.0,75.0,,,7.79,USD,31.17,USD,25.0,75.0,25.0,25.0,,,,WEAK,"ext_k=2.0 sl_atr=1.0 tp1=0.5×","2024-2025 only 4 trades — bull run limits short opportunities"
CFD Short C,rsi70_ext2_sl1_tp1x0.5,2020-2025,combined D1,7,1.2,71.4,,,7.50,USD,52.50,USD,28.6,71.4,28.6,28.6,,,,TOO RARE,"RSI_thresh=70 ext_k=2.0 sl_atr=1.0 tp1=0.75×","Good WR/exp but only 1.2 signals/year"
CFD Short C,rsi65_ext2.5_sl1_tp1x1.0,2020-2025,combined D1,6,1.0,66.7,,,8.72,USD,52.30,USD,33.3,66.7,33.3,33.3,,,,TOO RARE,"RSI_thresh=65 ext_k=2.5 sl_atr=1.0 tp1=1.0×","Best C expectancy — still 1 signal/year"
MARGINAL_EFFECTS,Signal_B_ext_k,,combined D1,,,,,,,,,,,,,,,,,FINDING,"ext_k=1.5 exp=-3.14 / ext_k=2.0 exp=+3.13 / ext_k=2.5 exp=-0.40","ext_k=2.0 clearly optimal"
MARGINAL_EFFECTS,Signal_B_sl_atr,,combined D1,,,,,,,,,,,,,,,,,FINDING,"sl_atr=0.5 exp=+0.17 / sl_atr=1.0 exp=+3.66 / sl_atr=1.5 exp=-4.24","sl_atr=1.0 clearly optimal"
MARGINAL_EFFECTS,Signal_B_tp1_mult,,combined D1,,,,,,,,,,,,,,,,,FINDING,"tp1=0.5 best WR (59.5%) — but individual combo ext2+sl1+tp1x0.5 exp=$8.63 is best","Interaction effect: tp1=0.5 only works with ext_k=2.0 + sl_atr=1.0"
DCA Capital Phase,plain_dca,2020-2025,combined D1+yfinance,314,52.3,,,,,,11003.67,USD,,,,,,,+110.0,BENCHMARK,"$10k / 260 weeks flat weekly","314 buys avg_cost=$2056 4.86oz @$4319 last"
DCA Capital Phase,phase_dca,2020-2025,combined D1+yfinance,314,52.3,,,,,,10392.40,USD,,,,,,,+109.3,INFERIOR_TO_PLAIN,"$2500/phase_type weekly vary","Avg_cost=$2064 — slightly worse than plain (phase allocation not deployed in full $9513)"
DCA Capital Phase,phase_dca+efear,2020-2025,combined D1+yfinance,101,16.8,,,,,,13672.39,USD,,,,,,,+136.7,BEST_STANDALONE,"phase_dca + $1000 on FNG≤25 10-bar cooldown","9 EF triggers from 257 EF days — avg_cost=$1825 5.48oz"
DCA Capital Phase,phase_dca+cfd,2020-2025,combined D1+yfinance,314,52.3,,,,,,10674.10,USD,,,,,,,+110.7,MARGINAL,"phase_dca + $138 CFD profits recycled","CFD adds only $282 profit on $10k — marginal at 1oz/trade scale"
DCA Capital Phase,full_combo,2020-2025,combined D1+yfinance,102,17.0,,,,,,13989.79,USD,,,,,,,+138.0,BEST_FULL,"phase_dca + efear + CFD recycled","10 EF triggers avg_cost=$1825 5.55oz — +28% vs plain_dca"
DCA Capital Phase,CONCLUSION_efear_dominates,2020-2025,combined D1+yfinance,,,,,,,,,,,,,,,,,FINDING,,"Extreme fear bonus drives +26% return delta — phase allocation alone adds nothing; CFD recycling marginal at 1oz scale"
